key,passportCountry,destinationCountry,continent,capital,currency,phoneCode,timezone,visaType,stayDuration,passportValidity,additionalInfo,officialLink
visa-requirement-18,Lorem ipsum dolor sit ame,洛伦·伊普森,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-19,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-20,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-21,Lorem ipsum dolor sit ame,' or 'A' = 'A,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#destionationCountry - no singular values
#continent - standard variations
visa-requirement-22,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,L,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-23,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lo,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-24,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-25,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-26,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-27,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,لوريم إيبسوم,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-28,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,洛伦·伊普森,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-29,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-30,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-31,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,' or 'A' = 'A,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#continent - no singular values
#capital - standard variations
visa-requirement-32,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,L,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-33,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lo,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-34,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-35,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-36,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-37,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,لوريم إيبسوم,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-38,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,洛伦·伊普森,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-39,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-40,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-41,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,' or 'A' = 'A,Lorem ipsum dolor sit ame,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#capital - no singular values
#currency - standard variations
visa-requirement-42,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,L,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-43,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lo,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-44,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscin",+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-45,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing",+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-46,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-47,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,لوريم إيبسوم,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-48,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,洛伦·伊普森,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-49,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-50,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-51,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,' or 'A' = 'A,+34123456,+31:14,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#capital - no singular values
#visaType - standart variations
visa-requirement-52,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,L,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-53,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,Lo,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-54,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,"Lorem ipsum dolor sit amet, consectetur adipiscin",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-55,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,"Lorem ipsum dolor sit amet, consectetur adipiscing",Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-56,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,โลเร็ม อิปซัม,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-57,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,لوريم إيبسوم,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-58,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,洛伦·伊普森,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-59,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,<marquee>Hacked</marquee>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-60,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
visa-requirement-61,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,+34123456,+31:14,' or 'A' = 'A,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",http://lorem.com/ipsum
#visaType - no singular values
#stayDuration - standart variations
