key,name,moment,subject,text,score,recommended,key:user-account
review-11,' or 'A' = 'A ,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-member
#
# name comprobado
#
review-12,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-manager-01
review-13,Lorem ipsum dolor sit ame,2000/01/01 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-manager-02
review-14,Lorem ipsum dolor sit ame,2000/01/01 0:01,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-manager-03
review-15,Lorem ipsum dolor sit ame,2022/07/29 23:59,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-manager-00
review-16,Lorem ipsum dolor sit ame,2022/07/30 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-administrator-01
#
# moment comprobado
#
review-17,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-administrator-02
review-18,Lorem ipsum dolor sit ame,2011/04/16 0:00,L,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-agent-01
review-19,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-agent-02
review-20,Lorem ipsum dolor sit ame,2011/04/16 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-technician-01
review-21,Lorem ipsum dolor sit ame,2011/04/16 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-technician-02
review-22,Lorem ipsum dolor sit ame,2011/04/16 0:00,โลเร็ม อิปซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-technician-03
review-23,Lorem ipsum dolor sit ame,2011/04/16 0:00,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-consumer-01
review-24,Lorem ipsum dolor sit ame,2011/04/16 0:00,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-consumer-02
review-25,Lorem ipsum dolor sit ame,2011/04/16 0:00,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-consumer-03
review-26,Lorem ipsum dolor sit ame,2011/04/16 0:00,<script>alert(‘Hacked!’);</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-provider-01
review-27,Lorem ipsum dolor sit ame,2011/04/16 0:00,' or 'A' = 'A ,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-provider-02
#
# subject comprobado
#
review-28,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-provider-03
review-29,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,L,5.00,true,user-account-member-01
review-30,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,Lo,5.00,true,user-account-member-02
review-31,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",5.00,true,user-account-member-03
review-32,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",5.00,true,user-account-member-04
review-33,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,โลเร็ม อิปซัม,5.00,true,user-account-member
review-34,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,reemplazo texto árabe,5.00,true,user-account-manager-01
review-35,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,洛伦·伊普森,5.00,true,user-account-manager-02
review-36,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,<marquee>Hacked</marquee>,5.00,true,user-account-manager-03
review-37,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,<script>alert(‘Hacked!’);</script>,5.00,true,user-account-manager-00
review-38,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,' or 'A' = 'A ,5.00,true,user-account-administrator-01
#
# text comprobado
#
review-39,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-administrator-02
review-40,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.00,true,user-account-agent-01
review-41,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.01,true,user-account-agent-02
review-42,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.99,true,user-account-technician-01
review-43,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10.00,true,user-account-technician-02
#
# score comprobado
#
review-44,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,true,user-account-technician-03
review-45,Lorem ipsum dolor sit ame,2011/04/16 0:00,Lorem ipsum dolor sit ame,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,false,user-account-consumer-01
#
# recommended comprobado
#
review-46,Review dentro de rango 01,2021/08/01 09:30,Servicio,"Buena atención",4.80,true,user-account-consumer-01
review-47,Review dentro de rango 02,2021/08/15 14:20,Producto,"Todo perfecto",5.00,true,user-account-consumer-02
review-48,Review dentro de rango 03,2021/09/10 16:00,Calidad,"Muy recomendable",4.90,true,user-account-provider-01
review-49,Review dentro de rango 04,2021/10/05 08:45,Compra,"Servicio ágil",4.70,true,user-account-provider-02
review-50,Review dentro de rango 05,2021/11/01 13:15,Entrega,"Rápida entrega",5.00,true,user-account-provider-03
review-51,Review dentro de rango 06,2021/11/25 18:10,Atención,"Excelente trato",5.00,true,user-account-member-01
review-52,Review dentro de rango 07,2021/12/31 23:59,Fin de Año,"Muy satisfecho",5.00,true,user-account-member-02
review-53,Review dentro de rango 08,2022/01/15 11:00,Inicio,"Buen comienzo de año",4.85,true,user-account-member-03
review-54,Review dentro de rango 09,2022/02/10 17:30,Ayuda,"Resolvieron mi duda",5.00,true,user-account-member-04
review-55,Review dentro de rango 10,2022/03/05 20:45,Soporte,"Excelente soporte técnico",4.95,true,user-account-agent-01
review-56,Review dentro de rango 11,2022/04/12 07:55,Mantenimiento,"Muy atentos",4.60,true,user-account-agent-02
review-57,Review dentro de rango 12,2022/05/20 10:10,Actualización,"Mejoras notables",4.90,true,user-account-agent
review-58,Review dentro de rango 13,2022/06/01 12:00,Renovación,"Satisfecho con el servicio",5.00,true,user-account-technician-01
review-59,Review dentro de rango 14,2022/06/15 15:30,Evaluación,"Todo correcto",4.80,true,user-account-technician-02
review-60,Review dentro de rango 15,2022/06/25 19:00,Consulta,"Buena respuesta",5.00,true,user-account-technician-03
review-61,Review dentro de rango 16,2022/07/01 10:00,Facturación,"Gestión clara",4.75,true,user-account-manager-01
review-62,Review dentro de rango 17,2022/07/10 16:15,Pregunta,"Respuesta rápida",4.95,true,user-account-manager-02
review-63,Review dentro de rango 18,2022/07/20 13:45,Valoración,"Muy buena experiencia",5.00,true,user-account-manager-03
review-64,Review dentro de rango 19,2022/07/25 21:30,Compra,"Sin incidencias",5.00,true,user-account-manager-00
review-65,Review dentro de rango 20,2022/07/29 23:59,Cierre,"Todo perfecto hasta el final",5.00,true,user-account-administrator-01

